Pillar,Terms,Subject Code,Subject Title,Instructor,Description
ESD,7,40.323,Equity Valuation,Benjamin Wong,
ESD,7,40.412,Principles of Logistics and Operational Skills,Benjamin Wong,
ESD,7,40.008,Systems Thinking for Operational Excellence,Daniel Wong,"This course provides an introduction to systems thinking and its application to operational processes in organizations. Students will explore techniques for analyzing complex systems, identifying bottlenecks, and optimizing performance. Topics include process mapping, lean systems, and strategic decision-making. Practical exercises and real-world case studies will prepare students to address operational challenges in diverse industries."
HASS,468,02.105DH,Sages Through The Ages: Readings in Early Indian and Chinese Religion and Philosophy,Susan Lim,
HASS,45678,02.110DH,"The Chinese Lyrical Tradition: Arts, Literature and Landscape Design",Gavin Teo,
HASS,468,02.115DH,Global Shakespeares,Catherine Lewis,
HASS,4568,02.120DH,History of Traditional Chinese Short Fiction,Gavin Teo,
HASS,468,02.121DH,The Question of Being,Michael Lee,
HASS,468,02.136DH,Lyric Poetry,Catherine Lewis,
HASS,468,02.137DH,Introduction to Digital Humanities,Kaori Suzuki,
HASS,468,02.139HT,"Form and Content in Arts, Science and Society",Sylvia Teo,
HASS,468,02.140TS,"Shaping Futures: Innovation, Work and Society",Jonathan Lee,
HASS,468,02.147TS,"Interventions in Design, Technology, and Society",Praveen Raj,
HASS,4678,02.148HT,Geographies of Money and Finance,Paul Koh,
HASS,468,02.151HT,"Digital Worlds, Space and Spatialities: Geographical Perspectives on Digitalisation",Paul Koh,
HASS,4678,02.156DH,Games of Histories,Michael Lee,
HASS,4678,02.167HT,Fashion: East and West (Special Topics),Ethan Tan,
HASS,4678,02.170HT,History of Surveillance in Modern Asia,Praveen Raj,
HASS,4678,02.172DH,"Imagine Dragons: Monsters and Outcasts in Literature, from Beowulf to Murakami",Chen Yi Fan,
HASS,468,02.173DH,The Medium and the Message: An Introduction to Media Theory,Chen Yi Fan,
HASS,468,02.174TS,The Design of Digital Platforms,Stephanie Ong,
HASS,4678,02.208,Microeconomics,Winston Lim,
HASS,4678,02.218TS,Introduction to Psychology,Angela Soh,
HASS,4678,02.211,Critical Management Studies,Lucien Moreau,
HASS,468,02.226,Leaders and Followers,Lucien Moreau,
HASS,468,02.228TS,Design in the Anthropocene,Joshua Lau,
HASS,468,02.231TS,Transportation Policy and Technology in Urban Progress,Louis Teo,
HASS,5,02.104TS,A History of International Development in Asia: The Role of Engineers and Designers,Jeremy Cheong,
HASS,5,02.108DH,"Modern China: Pluralism, and Beyond Territoriality",Jeremy Cheong,
HASS,5,02.201TS,Digital Sociology,Jonathan Lee,
HASS,7,02.001,"Global Humanities: Literature, Philosophy, and Ethics",Winston Lim,
HASS,7,02.003,"Social Science: Understanding Behaviour, Culture & Society",Winston Lim,
HASS,7,02.146,Financing Cities of the Future: Theory and Practice,Louis Teo,
HASS,7,02.168,International Business,Jin Zhang,
HASS,7,02.169,Leadership and Organisation Management ,Amelia Blackwood,
HASS,7,02.302,Business Culture and Entrepeneurship in China,Cheng Wei Low,
HASS,7,02.152TS,Urban Theory,Joshua Lau,
HASS,7,02.230HT,Health Communication and Behaviour Change,Michael Chew,
HASS,6,02.235TS,Global Politics and Society,Michael Lee,
HASS,6,02.244TS,Cultural Narrative in Global Media,Michael Potter,"This course examines the role of media in shaping cultural narratives and global identities. Students will analyze the impact of films, social media, and journalism on societal perceptions, exploring themes such as representation, bias, and globalization. Through discussions and media projects, students will develop critical insights into the power of media as a tool for cultural influence."
ISTD,4,50.001,Information Systems & Programming,Jennifer Tan,
ISTD,4,50.002,Computation Structures,Rebecca Tay,
ISTD,4,50.004,Algorithms,Boon Chye Lim,
ISTD,56,50.007,Machine Learning,Zachary Tan,
ISTD,6,50.012,Networks,Chiara Bianchi,
ISTD,68,50.017,Graphics and Visualisation,Li Rui,
ISTD,68,50.021,Artificial Intelligence,Jane Lim,
ISTD,68,50.038,Computational Data Science,Nicholas Lim,
ISTD,68,50.039,Theory and Practice of Deep Learning,Mei Lin,
ISTD,68,50.043,Database Systems,Jane Davis,
ISTD,68,50.044,System Security,John Lim,
ISTD,68,50.050,Discrete Mathematics and Algorithm Design,Benjamin Lee,
ISTD,68,50.051,Programming Language Concepts,Grace Low,
ISTD,68,50.053,Software Testing and Verification,John Smith,
ISTD,68,50.056,Software Abstraction Using Functional Programming,Ganesh Raju,
ISTD,8,50.033,Foundations of Game Design and Development,Rachel Tan,
ISTD,8,50.047,Mobile Robotics,Nathan Hall,
ISTD,8,50.055,Special Topic: Machine Learning Operations,Ryan Chua,
ISTD,5,50.003,Elements of Software Construction,Wilson Chia,
ISTD,5,50.005,Computer System Engineering,Nicole Teo,
ISTD,5,50.042,Foundations of Cybersecurity,Kenneth Goh,
ISTD,7,50.006,User Interface Design and Implementation,Josephine Tay,
ISTD,7,50.020,Network Security,John Lim,
ISTD,7,50.035,Computer Vision,Jack Brown,
ISTD,7,50.037,Blockchain Technology,Adeline Wong,
ISTD,7,50.040,Natural Language Processing,Anjali Nair,
ISTD,8,50.057,Data Privacy and Security,Stephanie Lim,
ISTD,8,50.110,Machine Learning for Cybersecurity,John Lim,"This course focuses on the application of machine learning techniques to enhance cybersecurity. Students will learn about threat detection, anomaly analysis, and predictive modeling for identifying and mitigating security risks. The course includes hands-on projects to develop machine learning algorithms for detecting phishing, malware, and unauthorized access in network systems."
Freshmore,3,10.024,Spatial Design World,Mary Clarke,
ESD,4,40.001,Introduction to Engineering Systems,Rachel Koh,
